datetime,text,cleaned_text,sentiment,sentiment_value
2021-01-01 04:16:00+00:00,Please extend GST ANNUAL RETURN FOR F.Y.2018-19 TILL 31.01.2021 @cbic_india @FinMinIndia @ianuragthakur #Extend_Due_Dates_Immediately,please extend gst annual return fy till,Positive,0.4588
2021-01-01 04:55:00+00:00,India fiscal deficit over runs it estimate by 35% led by shrinkage in Industrial output for consecutive 9 months,india fiscal deficit runs estimate led shrinkage industrial output consecutive months,Negative,-0.4019
2021-01-01 05:31:00+00:00,GST Update | Annual Return | Due Date Extension   The due date for filing the GST Annual Return for FY 2019-20 has extended till 28.02.2021.,gst update annual return due date extension due date filing gst annual return fy extended till,Neutral,0.0
2021-01-01 07:27:00+00:00,Only IT index and stock are hitting ATH  Income Tax and GST  IT team are hitting LC #incometax,index stock hitting ath income tax gst team hitting lc,Neutral,0.0
2021-01-01 07:45:00+00:00,Good news for economy. GST Revenue collection for December 2020 recorded all time high since implementation of GST. Collections at 1.15 lk cr,good news economy gst revenue collection december recorded time high since implementation gst collections lk cr,Positive,0.4404
2021-01-01 07:57:00+00:00,"Some good news to #Welcome2021 #GST Revenue collection for December 2020 recorded all time high since implementation of GST ₹ 1,15,174 crore gross GST revenue collected in  December @FinMinIndia @nsitharaman @ianuragthakur",good news revenue collection december recorded time high since implementation gst ₹ crore gross gst revenue collected december,Negative,-0.0516
2021-01-01 08:14:00+00:00,#GST - GST collections touch record high of over Rs 1.15 lakh crore in December 2020 - Finance Ministry #GSTcollection,gst collections touch record high rs lakh crore december finance ministry,Neutral,0.0
2021-01-01 08:18:00+00:00,"#GST - Gross GST revenue collected in the month of December 2020 is Rs 1,15,174 crores of which CGST is Rs 21,365 crores, SGST is Rs 27,804 crores, IGST is Rs 57,426 crores and Cess is ₹Rs 8,579 crores (including ₹ 971 crores collected on import of goods) - Finance Ministry",gross gst revenue collected month december rs crores cgst rs crores sgst rs crores igst rs crores cess ₹rs crores including ₹ crores collected import goods finance ministry,Negative,-0.4767
2021-01-01 08:21:00+00:00,GST Revenue collection for December 2020 recorded all time high since implementation of GST.....We are on the speedy recovery track.....https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1685332#.X-7bfmB2TC9.twitter,gst revenue collection december recorded time high since implementation gstwe speedy recovery track,Neutral,0.0
2021-01-01 08:41:00+00:00,Boom!  Great news. #GST collection in December at an all-time high of Rs 1.15 lakh crores!  Q3 growth being positive  FY21 contraction restricted to -7% FF22 growth of around 11%   All looks realistic!   #indian #economy #postcovid #recovery,boom great news collection december alltime high rs lakh crores q growth positive fy contraction restricted ff growth around looks realistic,Positive,0.9201
2021-01-01 08:44:00+00:00,"GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 crore gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year. @cbic_india @ianuragthakur",gst revenue collection december recorded time high since implementation gst ₹ crore gross gst revenue collected december revenues december higher gst revenues month last year,Negative,-0.4767
2021-01-01 08:45:00+00:00,Also twit about Modi Govt tax collection from Petrol and Diesel.  Must be closer to GST collection?  No data here?,also twit modi govt tax collection petrol diesel must closer gst collection data,Neutral,0.0
2021-01-01 08:51:00+00:00,INDIA'S #GST collection for December 2020 recorded all time high 115000 crs .. Indian economy on high speed.  #ModiHaiToMumkinHai,indias collection december recorded time high crs indian economy high speed,Neutral,0.0
2021-01-01 09:01:00+00:00,"The gross GST revenue collected in the month of December 2020 rose to ₹1,15,174 crore, an all-time monthly high since the implementation of the new tax regime !!",gross gst revenue collected month december rose ₹ crore alltime monthly high since implementation new tax regime,Negative,-0.4767
2021-01-01 09:18:00+00:00,GST REGIME!                     LEVY 12%             ON FRUIT JUICES  CHARGE 40% GST  ON ALL CARBONATED SWEETENED WATER IRRESPECTIVE OF ADDITION OF FRUIT JUICE OR PULP  TO AVOID MANIPULATION  OF RATE OF GST!             MISSION ANTI-420,gst regime levy fruit juices charge gst carbonated sweetened water irrespective addition fruit juice pulp avoid manipulation rate gst mission anti,Negative,-0.6908
2021-01-01 09:22:00+00:00,"Just in | The gross #GST revenue collected in December 2020 hit an all-time high since the introduction of the tax in 2017, at ₹ 1,15,174 crore. This reflects a 12% growth over GST collections in December 2019.  - @tragicosmicomic reports.",gross revenue collected december hit alltime high since introduction tax ₹ crore reflects growth gst collections december reports,Negative,-0.128
2021-01-01 09:32:00+00:00,"Breaking News: GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 crore gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year  @CREDAINational",breaking news gst revenue collection december recorded time high since implementation gst ₹ crore gross gst revenue collected december revenues december higher gst revenues month last year,Negative,-0.4767
2021-01-01 09:38:00+00:00,"GST collections at 115,000 crore look fabulous",gst collections crore look fabulous,Positive,0.5267
2021-01-01 09:44:00+00:00,Hope LTCG is removed,hope ltcg removed,Positive,0.4404
2021-01-01 10:37:00+00:00,"Good News  GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 Cr gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year  #Welcome2021 #NewYear2021",good news gst revenue collection december recorded time high since implementation gst ₹ cr gross gst revenue collected december revenues december higher gst revenues month last year,Negative,-0.0516
2021-01-01 10:38:00+00:00,@RahulGandhi you were right.. @narendramodi Ji has ruined Indian Economy.. GST collections are at all time high.. This is absolutely not acceptable.. I am typing this after smoking what you usually do.  @INCIndia @rssurjewala.. 😂😂,right ji ruined indian economy gst collections time high absolutely acceptable typing smoking usually 😂😂,Positive,0.6478
2021-01-01 11:00:00+00:00,"Record GST collection for the month of Dec 2020 of 1,15, 174 crores...India coming Back on track ❤️❤️",record gst collection month dec croresindia coming back track ❤️❤️,Neutral,0.0
2021-01-01 11:23:00+00:00,"Gross #GST revenue collected in the month of December2020 is Rs 1,15,174 crores of which CGST is Rs 21,365 crores, SGST is Rs 27,804 crores, IGST is Rs 57,426 crores and Cess is ₹Rs 8,579 crores (including ₹ 971 crores collected on import of goods): @ianuragthakur @nsitharaman",gross revenue collected month december rs crores cgst rs crores sgst rs crores igst rs crores cess ₹rs crores including ₹ crores collected import goods,Negative,-0.4767
2021-01-01 11:43:00+00:00,"As we close the year, good news coming from the Ministry of Finance about the record GST collection.  India is truly and well on the road to recovery. Congratulations to @nsitharaman ji and her team for their persistence.",close year good news coming ministry finance record gst collection india truly well road recovery congratulations ji team persistence,Positive,0.8957
2021-01-01 11:59:00+00:00,"GST Revenue collection for December 2020 stands at Rs 1,15,174 crore. 👍👍",gst revenue collection december stands rs crore 👍👍,Neutral,0.0
2021-01-01 12:06:00+00:00,Taxation gst returns ect...,taxation gst returns ect,Neutral,0.0
2021-01-01 12:17:00+00:00,December 2020 GST collections touch all-time high at Rs 1.15 lakh crore  https://economictimes.indiatimes.com/industry/banking/finance/december-2020-gst-collections-touch-all-time-high-at-rs-1-15-lakh-crore/articleshow/80058495.cms   Download Economic Times App to stay updated with Business News - https://etapp.onelink.me/tOvY/135dde21,december gst collections touch alltime high rs lakh crore download economic times app stay updated business news,Neutral,0.0
2021-01-01 12:52:00+00:00,"They r heartless, they enjoy when people die due to their huridly taken nonsense decisions,let it be DeMo,GST,CAA, Delhi riots last year,Covid 19 n latest being 3 Kala Agri laws, whereby Indian Kisan Anndata r on agitation in open in such a chilling cold n about 45 died. Shame.",r heartless enjoy people die due huridly taken nonsense decisionslet demogstcaa delhi riots last yearcovid n latest kala agri laws whereby indian kisan anndata r agitation open chilling cold n died shame,Negative,-0.9565
2021-01-01 12:55:00+00:00,"Records GST Collection !  Now let @FinMinIndia have huge heart and re introduce one time amenesty scheme for GST returns. Also extend Tax Audit due dt, MCA filing for LLP & Cos.   Govt should look larger picture & not just small revenue from penalties during #Covid @nsitharaman",records gst collection let huge heart introduce one time amenesty scheme gst returns also extend tax audit due dt mca filing llp cos govt look larger picture small revenue penalties,Positive,0.802
2021-01-01 13:42:00+00:00,Now 115174 Crore 🤔  Few market participants think Festivals are gone and #Gst collection and #Nifty will be down in coming months.   Good luck for next month.  Gst collection and Nifty both are at all time high. 🙏🇮🇳  #HappyNewYear2021,crore 🤔 market participants think festivals gone collection coming months good luck next month gst collection nifty time high 🙏🇮🇳,Positive,0.8779
2021-01-01 14:25:00+00:00,Record #GST collection.,record collection,Neutral,0.0
2021-01-01 14:30:00+00:00,"I fail to undrstnd why Times is bothered about unproductive things like world leaders etc. If u feel Namo is good why cudnt he solve the Farmers problems so far rather than allowing them to suffer bcos of Ego problem?I wl allot zero points for silly dcns like Note bandhi, GST etc",fail undrstnd times bothered unproductive things like world leaders etc u feel namo good cudnt solve farmers problems far rather allowing suffer bcos ego problemi wl allot zero points silly dcns like note bandhi gst etc,Negative,-0.4939
2021-01-01 14:44:00+00:00,600 + Daily New cases of Covid in Mumbai  The city contribute highest in Tax be in Income Tax or GST  Majority of Corporate yet to Start Audits & MCA compliance  Extend MCA AGM due dates with Tax & Statutory Audit dt to 28 Feb 2021 @nsitharaman @ianuragthakur   RT if agree,daily new cases covid mumbai city contribute highest tax income tax gst majority corporate yet start audits mca compliance extend mca agm due dates tax statutory audit dt feb rt agree,Positive,0.4939
2021-01-01 16:02:00+00:00,"#ADV | JOB OPPORTUNITY  We are hiring a dedicated, Hard working and Passionate ACCOUNTANT  Qualification: Graduate with knowledge of Computers including Tally- GST  Experience candidates will be preferred.   Salary: Negotiable   For further details contact 7006279840, 9797701138",job opportunity hiring dedicated hard working passionate accountant qualification graduate knowledge computers including tally gst experience candidates preferred salary negotiable details contact,Positive,0.8316
2021-01-01 16:43:00+00:00,"Highest ever #GST collection of Rs 1.15 lakh cr in Dec & being the 3rd consecutive monthly collection of over Rs 1 lakh cr - economy wise, points to our country coming out of slump! And the approval of #COVIDSHIELD vaccine is really the good news, people eagerly awaited. 👍",highest ever collection rs lakh cr dec rd consecutive monthly collection rs lakh cr economy wise points country coming slump approval vaccine really good news people eagerly awaited 👍,Positive,0.8977
2021-01-01 17:12:00+00:00,Now 2.50...GST collection heavy.,gst collection heavy,Neutral,0.0
2021-01-01 17:44:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New year @dintya15 @rsprasad @CSCegov_ @ChoupalWifi @cscrajasthan @csc @ArunDowan,request csc department release payment economic survey enumerator paid new year,Neutral,0.0
2021-01-01 17:48:00+00:00,No government gives a fuck about this class! Again will get a big 🔔 in the budget! Interesting to learn from the finance minister how many tax payers have opted the second scheme in the current financial year!,government gives fuck class get big 🔔 budget interesting learn finance minister many tax payers opted second scheme current financial year,Negative,-0.2023
2021-01-01 18:03:00+00:00,"GST Revenue collection for Dec 2020 recorded all time high since implementation of GST  ₹ 1,15,174 cr gross GST revenue collected in  Dec alone",gst revenue collection dec recorded time high since implementation gst ₹ cr gross gst revenue collected dec alone,Negative,-0.6249
2021-01-02 00:49:00+00:00,"So bermula lah sesi renovation. Actually budget i x banyak pun, (nanti DM for price haha) so i cakap i nak itu ini within the budget. So end up they said okay thats why i proceed. Harga termasuk dapur and hood tu.",bermula lah sesi renovation actually budget x banyak pun nanti dm price haha cakap nak itu ini within budget end said okay thats proceed harga termasuk dapur hood tu,Positive,0.5994
2021-01-02 00:57:00+00:00,the JAVA utilities on IT website are still not updated with the extended due dates.....FYI please  @nsitharaman @IncomeTaxIndia @cbdt @PMOIndia @nsitharamanoffc @SushilModiFORNFILING INCOME TAX RETURN 48 HOURS PASSED BUT NOT UPDATED THANKS FOR #extension,java utilities website still updated extended due datesfyi please income tax return hours passed updated thanks,Positive,0.6369
2021-01-02 01:05:00+00:00,Hope they pay income tax from the profits.,hope pay income tax profits,Positive,0.6597
2021-01-02 02:16:00+00:00,#DAforGovtservantandpensioners  Now Government collected record GST so government must release stopped DA for government servant and pensioners.,government collected record gst government must release stopped da government servant pensioners,Negative,-0.2263
2021-01-02 02:51:00+00:00,Yes largest and richest too in resources . Hope their budget is liberal for TN assembly elections,yes largest richest resources hope budget liberal tn assembly elections,Positive,0.8402
2021-01-02 03:04:00+00:00,"CBIC enables Form GSTR-9C Offline Utility for the FY 19-2020 on GST Portal.  In order to generate GSTR-9C offline utility go to Downloads, click on Offline Tools then click on GSTR-9C Offline Tool and click download.",cbic enables form gstrc offline utility fy gst portal order generate gstrc offline utility go downloads click offline tools click gstrc offline tool click download,Negative,-0.4588
2021-01-02 03:13:00+00:00,Tax is Paid only by Poor men of Poor Country. That's why India is always remained Poor.,tax paid poor men poor country thats india always remained poor,Negative,-0.8519
2021-01-02 03:27:00+00:00,"GST collection in Dec 2020 is the highest ! It is a good sign, people have faith in Modi ji Govt. all the tax paid will go back to people in the form of development  as there are no looters in Modi ji Govt. Thanks to transparent govt. at centre on behalf of citizens of India",gst collection dec highest good sign people faith modi ji govt tax paid go back people form development looters modi ji govt thanks transparent govt centre behalf citizens india,Positive,0.8225
2021-01-02 03:28:00+00:00,"This govt specialises in doing even the right things wrongly. That is what happened with Demonetisation, GST and Farm Reforms! Insufficient consultations, that too mostly with the ill-informed, is the real problem.",govt specialises even right things wrongly happened demonetisation gst farm reforms insufficient consultations mostly illinformed real problem,Negative,-0.4019
2021-01-02 03:33:00+00:00,Will begin a blog on matters pertaining to design policies and the  creative economy. Sharing 12 years experience from thinklab to getting budget tabled via MoF.,begin blog matters pertaining design policies creative economy sharing years experience thinklab getting budget tabled via mof,Positive,0.7003
2021-01-02 04:10:00+00:00,The government is proposing GST on crypto trading.  It is a long term signal that crypto currency is here to stay and at some point the government's will accept it.  It could be due to other countries accepting it (peer pressure) or users adopting it faster than govt control.,government proposing gst crypto trading long term signal crypto currency stay point governments accept could due countries accepting peer pressure users adopting faster govt control,Positive,0.4588
2021-01-02 04:27:00+00:00,"See WB, bengal , punjab . Low gst collection. No industries. These states have been  finished under wrong leadership. Living on other states revenue.They survive due to centre's help. Still talk of federal structure. Left to themselves they will be nowhere.",see wb bengal punjab low gst collection industries states finished wrong leadership living states revenuethey survive due centres help still talk federal structure left nowhere,Negative,-0.3612
2021-01-02 04:27:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/,gst collections alltime high rs lakh cr dec,Neutral,0.0
2021-01-02 04:35:00+00:00,"Well, there is huge gold smuggling activity and other cash related activity, which doesn't show up in GST collections",well huge gold smuggling activity cash related activity doesnt show gst collections,Positive,0.0772
