datetime,text
2022-01-01 01:23:00+00:00,"#GSTupdates #GST Council has taken a laudable decision to defer hike in GST rate on textiles from 5% to 12% w.e.f January 1, 2022 #GSTCouncilMeeting"
2022-01-01 03:27:00+00:00,Yes there were some initial glitches in the #incometax portal which were taken care of and the filing date was extended by 31st Dec. None of my friends and family members faced any issue in filing the #IncomeTaxReturn and also got the refund. Can't understand the outrage.
2022-01-01 04:09:00+00:00,Happy New Year 2022  Azamgarh GST/ITR Suvidha Kendra
2022-01-01 04:11:00+00:00,Gst council declaired No additional gst on textailes but you are shared old vedio
2022-01-01 04:20:00+00:00,5. Stick to the same skin routine. Jangan campur dah. Record how long it last.. for prepare next purchase. 6. Declutter barang tak perlu.. yes buang. 7. Record all expenses. Do budget . Record all car service and motorcycle service. When how much.
2022-01-01 04:23:00+00:00,"Please change the rate after deducting 12% of GST , cloths and food items should be tax free"
2022-01-01 04:44:00+00:00,"The question is how policy makers will address it. First, whether policy makers will acknowledge and try to address through #UnionBudget or wait till elections in 7 states are over. @BJP4India is in power in 6 out of 7 states and @INCIndia has been ruling Punjab."
2022-01-01 04:59:00+00:00,What I dread and fear from the rise of Hindutva terror wave in India is that these morons would do anything to increase their vote bank and might take a (miscalculated) risk of attacking Pakistan and remember our defense budget is running on loans so God forbade!!!!
2022-01-01 05:03:00+00:00,@nsitharaman @narendramodi @AjitPawarSpeaks @Jayant_R_Patil @guddu_shoeb @MalikKhan_NCP #Happy that #GST on Fabrics have been taken back but its normal now #govt take decision in few min and they have to take there steps backward bcoz of wrong decision 1/3
2022-01-01 05:19:00+00:00,It is a business of fleecing without GST being paid
2022-01-01 05:41:00+00:00,Happy New year friends  RRR low budget trailer link https://piped.video/C1UV66Qew6s #beast #actorvijay
2022-01-01 05:57:00+00:00,Many business owners ask to pay in cash even there is online mode available...or ask to pay extra for tax .. Is government taking extra taxes ? Or owners don't want to pay ? If so imagine the amount they have saved from taxes for decades  #GST
2022-01-01 06:21:00+00:00,"Peace is temporary, due dates are permanent.  Due dates in January: 1. TDS deposit: 7 2. GST 1 monthly: 11 3. Gst 1 quarterly: 13 4. Tcs quarterly return: 15 5. TAR : 15 6. GST 3B Monthly : 20 7. GST 3B Quarterly: 22/23/24 8. TDS quarterly: 31 #HAPPYNEWYEAR"
2022-01-01 06:23:00+00:00,Instead of 2% increase on gst why doesn't the singapore government increases gst by 1% and the balance of the  revenue from the other 1% from the rich and corporate. Seems fair
2022-01-01 06:26:00+00:00,"#GST ON TEXTILES  Govt. retained old rate of 5 % ,because of fear of defeat in Gujarat. Threat of AAP looming large there .This arrogant party financed by corporates,don't care for general public.Had it been so,issue of footwear would also been on agenda ."
2022-01-01 06:33:00+00:00,Well done @ptrmadurai .  I hoping for a Union or State wide Universal Basic Income scheme to Lower Middle class & Poor section of the society... #TNBudget #UnionBudget
2022-01-01 07:00:00+00:00,Let's start year ahead with new-year-gift of 12.3% inflation to be followed by lag-effect of mini-budget plus petroleum and electricity price hike.
2022-01-01 07:08:00+00:00,Seems the budget to change all the signs ran out before they go this far east. It's still Tesco's here 🤣
2022-01-01 07:09:00+00:00,wdym gst started off as low as 3%…
2022-01-01 07:28:00+00:00,Indians have such a short term memory in a post Truth world when they can be fooled easily with fake photos. A 2017 CRPF soldier photo is used to portray Modi as a moderniser. Modi has reduced the Defence budget steadily. The @crpfindia suffered its worst attack under Modi.
2022-01-01 07:31:00+00:00,"It is hoped this was income tax; where the tax net increase has traditionally been elusive. Otherwise, if it includes other heads as well, then higher the tax rates, higher the collection."
2022-01-01 07:41:00+00:00,@IncomeTaxIndia Kindly extend the Date for filing Income Tax. Fine Rs 5000/- after paying more than Rs 1.00 Lacs Income Tax is Worst thing. Does the Government is paying any penalty for Delayed Projects???
2022-01-01 07:44:00+00:00,"Did you know that saving taxes can save you too ? yes, the investments that help you save income tax can also create a long term corpus that could be pretty Significant. Listen to the Sherpa.. #taxes #taxsavings #taxdeductions https://piped.video/T-8GslJMf6A"
2022-01-01 08:20:00+00:00,Income tax and TGST will increase and will be added to the state budget to be spent according to the policies of the government elected by the people.
2022-01-01 09:05:00+00:00,"""Business Profit Tax Act would be repealed with the commencement of Income Tax."" - MIRA https://www.mira.gov.mv/IncomeTax.aspx"
2022-01-01 09:23:00+00:00,#GST collection in December stood at 1.29 lakh crore. This is 13% higher than the GST revenues in the same month last year and 26% higher than the GST revenues in December 2019. Revenues from import of goods was 36% higher & from domestic transaction are 5% higher. #gstrevenue
2022-01-01 10:29:00+00:00,I had a doubt about operations at @WazirXIndia and now my doubts are answered.  Good job GST Mumbai team! #WazirX #Crytpo @CryptooAdy @Crypto_Jargon
2022-01-01 10:35:00+00:00,"Seems you are totally unaware about dynamics of Indian economy. India is totally dependent on China for its manufacturing and economic progress. So, all these talks of boycotting China, Chinese products is nonsense ."
2022-01-01 10:48:00+00:00,+ MCU budget.
2022-01-01 10:55:00+00:00,Our budget for anything could not be the same as the shopkeeper is demanding. That does not mean that we are beggars or something like that as per the shopkeepers. We have our budget and the way he talked and lang they used are horrible!!
2022-01-01 11:08:00+00:00,We have received again call from losers team again they want 24 hours for generate the GST invoice.  Loooooooooooosers packup your company and go back for learning. Nonsense fellow have lot of excuse. For your info audio clip sent via mail with indigo team.
2022-01-01 11:13:00+00:00,"@IncomeTaxIndia I have not received my income tax return filled on 8th Nov 21, it shows under processing, why so much delayed. Will I get interest ? Can some one tell me how much time it will take ? Pan no ABAPW9407G"
2022-01-01 11:26:00+00:00,"Karnataka is way ahead of UP in GST collection. Bihar is still not paying. Rajasthan, West Bengal are far behind. Punjab seems to be evading tax compared to its neighbour Haryana. AP must be busy with other activities. https://pib.gov.in/PressReleseDetail.aspx?PRID=1786774"
2022-01-01 11:43:00+00:00,"Total revenue for dec 21 is ₹ 1,29,780 Cr... 13% higher compared to Dec 2020. Tamil Nadu collected ₹ 6,635 Cr which is 4% deficit compared to dec 2020.. #IndianEconomy #TamilNaduEconomy .."
2022-01-01 11:47:00+00:00,"IMF demands, sovereignty and the mini budget by @SenRehmanMalik #MiniBudget #IMF #Pakistan https://nation.com.pk/01-Jan-2022/imf-demands-sovereignty-and-the-mini-budget"
2022-01-01 11:47:00+00:00,"Haha it's been so long when I try out some clothes 😆 Normally I spend my money for clothes, make-up n treatment. Right now I'm on budget... 🥲 Even though has some new clothes for CNY... Then for my sis' upcoming wed 💔💸💸"
2022-01-01 11:55:00+00:00,Government rejected that proposal of 12% GST on cloths
2022-01-01 12:05:00+00:00,What's the effective loss ? What is the plan for making up for it ? For houses above 500 sqft.will the first 500 sqft be exempted (similar to income tax regulation) ? What is the logic of no property tax below 500 Sq Ft ? And then we complain about brain drain 😡y shud v stay bak
2022-01-01 12:23:00+00:00,PTI also decreased the health budget by 32%.  #TabdeeliNahinTabahi
2022-01-01 12:26:00+00:00,#IthmaarOffers - Ahmed Sharif Furniture  17403403 - Au Nom De La Rose  17561616 – 39470249 Whatsapp - LEAVES 32328882 - energie Fitness 16163023 - Budget Rent a Car 80001551 - Rashfa Café 17406123 - Health Watchers 36555415 - Royal Bahrain Hospital 17246800 #IthmaarBank #Bahrain
2022-01-01 12:29:00+00:00,"According to Pakistan Bureau of Statistics in last week of 2021 Pakistan witnessed highest ever 20.05% inflation, record increase in prices of commodities pushing millions below poverty line & #PTIMF Mini-Budget, 2022 begins with more inflation. #TabdeeliNahinTabahi"
2022-01-01 13:04:00+00:00,"It's pre decided system first waste existing sistem which is smooth , then arrange problematic site and after there would great amount of collection of late fee  same technique used while gst introduce it's nothing but a #late_fee_scam"
2022-01-01 13:28:00+00:00,Hipocracy? The intended satire or the mini budget? 🤔
2022-01-01 13:29:00+00:00,@AliMomin2274  Reference only to Income tax  All other commodities at MRP are taxed... So he is not right entirely.  But you are a winner 17% tax saved.......
2022-01-01 14:28:00+00:00,Of course as usual bigger houses will be burden as if we earn to find these non sense right from electricity to income tax…
2022-01-01 14:34:00+00:00,There is a Gift to India that Textile has only 5% GST.........Among other costly changes🤣🤣🤣
2022-01-01 14:40:00+00:00,Pakistan budget depends on charity https://www.republicworld.com/world-news/pakistan-news/pakistan-tables-mini-budget-in-national-assembly-amid-growing-economic-crisis-report-articleshow.html
2022-01-01 14:51:00+00:00,During covid time   Instead of reduced govt unwanted  Expenses  For the past five years   Costly cars bought the of our   PM  Costly flight unit  Costly Home for PM  Unwanted new Parliamentary   House construction expenses  Likewise many ways   Gst on petrol diesal cost
2022-01-01 15:00:00+00:00,Govt fake annacument on GST?
2022-01-01 15:32:00+00:00,"The new year gift , Promoted to Deputy Commissioner with more stars on the shoulder and took charge as Deputy Director GST Intelligence Uttarakhand . Hoping to serve the nation with even more enthusiasm 🇮🇳🙏🏻"
2022-01-01 15:40:00+00:00,"""subsidies provided by the [Pakistan] government have had a limited effect, if at all, on [textile] export volume"" #LNG"
2022-01-01 15:44:00+00:00,"Finally Finance Act, 2021 fully effected (affected) from today and within a couple of months will have Finance Act, 2022 !!!  Let's See  !!!  #GST #NirmalaSitharaman #economy"
2022-01-01 15:50:00+00:00,This Is the effort done by our Drama Rao for non increasing of  GST on Textiles n also repeal of Farm Bills 😂
2022-01-01 15:53:00+00:00,#Modi #Government decision on #textiles #GST rates is a great relief to #INDUSTRY .
2022-01-01 16:12:00+00:00,"Shame on Income Tax Department for this failure and still not ready to listen. This is same as Farmers Bill. When Election comes govt will allow to file Tax Return without late fees. Those who pay tax and fees like in GST , they will not get refund. This kind of precedent is set"
2022-01-01 16:22:00+00:00,@ECISVEEP  is Requested to PREVENT Political Parties to Give Promises #GREED_VOTERS  at the #COST_OF_State_MONEY 💰 * Giving Free Electricity #Subsidies and other Greedy Promises. #Withdraw their Recognition.
2022-01-01 16:50:00+00:00,"News headlines for Jan 1: Vaishno Devi stampede; GST revenue collection, & other top news  dhunt.in/qi2Ya?s=a&uu=0x744f… Source : ""TimesNowNews"" via Dailyhunt  Download Now dhunt.in/DWND"
2022-01-01 18:49:00+00:00,Due Dates Alert ! #GST #TaxTwitter #Taxaudit #IncomeTaxReturn #incometax
2022-01-01 19:02:00+00:00,@PMOIndia @narendramodi  Please extend due date for filing Income tax return  many return are pending and need to be filed why to Pay penalty it was genuine request from all professional  Why concern was not addressed by FM DEPT. WHY DEMAND OF EXTENSION WAS IGNORE?????
2022-01-01 19:47:00+00:00,Is it democracy .... where reputed profession demanding extension for income tax return was not heard  Why why.....  @PMOIndia
2022-01-01 19:59:00+00:00,After Mini budget  #MiniBudget
2022-01-01 20:51:00+00:00,Agr Ek Or Budget Esa Hua To Seen Yehii Hoo Gy.. #budgettravel
2022-01-02 01:53:00+00:00,"Ya man, they must have failed your budget.  Lekin aapne Ghabrana nahi hai."
2022-01-02 03:06:00+00:00,"Was it worth the cost?   2 wiped out state elections, lopsided budget so bad that it defied description, effectively muzzled in Parliament and worst of all is  PH seen as can be bought with allowances and 'peruntukan' utk wakil rakyat. PH image at its worst level since 2018."
2022-01-02 03:12:00+00:00,"GST is stabilising at Rs 1.3 trillion a month , this would mean GST collection of Rs 15 trillion a year. Half of the budget can be covered with GST alone.  Apart from this you have income tax , vat , cess and income from govt businesses. Vat on fuel is huge in itself."
2022-01-02 03:39:00+00:00,Budget?
2022-01-02 04:19:00+00:00,"It's actually agenda of current finance miNistry , colleCt late fee which is no need to disclosed and no any specific purpose decide under budget for use , it is actually #late_fee_scam"
2022-01-02 05:33:00+00:00,"Ultimate Super mind Blowing Movie #MinnalMurali Proved that you don't  need 100cr's & 200cr's budget Make a fine Super hero Movie.not Much VFX , but they used where need  The Success #Mollywood"
2022-01-02 07:04:00+00:00,"Our first 2022 head department meeting ,""sitcom Kami Budak Flat."" Finalise crew, artist n budget. Yes we are ready!"
2022-01-02 08:57:00+00:00,Decided to go a little over budget today for the last night to cheer up the gf after yesterday. Looked for something quiet and peaceful with a beautiful view where we can relax for the last afternoon and night of the trip. I think I nailed it.
2022-01-02 10:21:00+00:00,"How much they spent for #RRR man, budget + all India pre release events 🙏 It's too hyped now . Hope it does well 3-4 years since their release, I just hope that doesn't happens with @alluarjun ever ."
2022-01-02 10:25:00+00:00,"Lets call it under the head : . .  ""Corona cess"" This year's budget is going to be interesting   Ain't no rocket science, Taxes will need to be increased atleast to catch up to ever expanding Debt"
2022-01-02 12:31:00+00:00,"And a 400 Cr budget for a memorial too, announced earlier"
2022-01-02 13:10:00+00:00,"Can with budget from previous years be used to tell people what they are loosing in getting freebies. Like @ArvindKejriwal alleged to save money from flyover and using that money to fund freebies, highly foolish analogy. Extracting money from poor through more liquor sale etc."
2022-01-02 14:02:00+00:00,"Just completed my first animated movie of 2022, Seal Team, on Netflix.  This low budget animated movie from South Africa had no right to be this exciting, funny and very creative in spite of its slightly slow animation. Wow, a fantastic debut from Triggerfish! Bravo!  4/5"
2022-01-02 14:04:00+00:00,I've no issue selling Traore as his head's gone and he's been ineffective for nearly 2 years and will be forever.  But not strengthening l where Bruno clearly said is fucking negligence by Fosun. There should be budget already for the signings they failed on in the summer.
2022-01-02 14:14:00+00:00,"With that, here's the updated list of low budget animated movies scoring 3.5/5 or otherwise stated:  Hoodwinked Leafie, a Hen into the Wild (5/5) Son of Bigfoot Red Shoes and the Seven Dwarves Mosley (4.5/5) Spycies Seal Team (new, 4/5)  Welcome to this exclusive club, Seal Team!"
2022-01-02 14:16:00+00:00,"Worst is they start haggling _after_ asking a dozen questions about the place. ""Oh btw my budget is half the asking price."""
2022-01-02 15:01:00+00:00,Pl sign the petition urging the Honble @PMOIndia & @NITIAayog to valdidate the claims on #ZBNF before promoting. We the farmers fear that @nsitharaman might reduce the fertilizer subsidy .https://chng.it/xfMZfL2KVg in the Union Budget
2022-01-02 16:34:00+00:00,Must compare this with budget allocation as well.
2022-01-02 17:20:00+00:00,Adi decent gane unnay colls according to the genre.. over budget valla safe avvaledu
2022-01-02 17:26:00+00:00,Disasters veru average veru.. ikkad 83 ki bagane vachay but budget over valla breakeven ledu anthey not like audience rejected.
2022-01-02 18:36:00+00:00,WELLCOME TO SRILANKA 🇱🇰 We are Tourisum authorize company. Please send us your next holiday's plan. We crate itineraries for your unforgettable memories 😊 Luxurious & budget according to your satisfaction. WE MEKE YOUR MOMENTS 😍
2022-01-03 00:52:00+00:00,They have beauty to play with number so know how collection increase without disclosure like Late fee everywhere #late_fee_scam
2022-01-03 01:00:00+00:00,"They take only cash, they dont accept any other transaction mode, refused when you dont have have cash. generating revenue without giving any taxes. Turnover in crores #salestax #incometax #IncomeTaxDepartment #moneylaundering #tax #burmabiscuit #taxchori #betterbusinessbureau"
2022-01-03 01:41:00+00:00,I'd suggest Doquas ( budget headphones) pure legend. Or Beats Studio 3
2022-01-03 01:57:00+00:00,"The way the nations greeted 2022 techlly,is an eye opener for their committ towards growth trajectory.BrujKhalifa at Dubai made people spellbound but what Beijing demonstrated is awesome! none can touch it.we are stuck up with GST rate! unityindiversity exp running in back gear!"
2022-01-03 02:34:00+00:00,3 years time shooting over budget/miscalculation whatever. Aina idi Just aa worldcup meeda movie hence no commercial elements.. Haryana hurricane anj kapil dev biopic petti Last 40 mins ee world cup petti unte gattiga kottedi..
2022-01-03 03:06:00+00:00,It should gives them enough budget to build the projects long term
2022-01-03 03:14:00+00:00,"Ever since Railway budget was removed,all pretences of transparency are gone. We don't know where Railways invests money."
2022-01-03 04:54:00+00:00,"Most sensible countries only provide subsidies/protection to a supposed infant industry for only short durations. China, a country that we admire greatly as we should, doesn't give subsidies indefinitely to its industries https://www.reuters.com/world/china/china-cut-new-energy-vehicle-subsidies-by-30-2022-2021-12-31/"
2022-01-03 05:30:00+00:00,U should start again . Now dec result n budget ahead so movement will remain . Positive for the market @NileshShah68
2022-01-03 05:57:00+00:00,"This is the scheam of increasing in income of govt tax GST etc in every year, 100 cr vaccination what, that means thease all r falls madicine"
2022-01-03 06:05:00+00:00,"Alas ! If a fraction of such ""activism"" of bhakts  found to demand Rafaels audit , New imposition of GST wouldn't happen."
2022-01-03 06:09:00+00:00,"to service the cost of borrowing.  Why can't the govt simply print Rs. It cab but that will spur inflation, which'll effectively tax everyone's income, & those with the least amount of discretionary income will be hurt most."
2022-01-03 06:27:00+00:00,"Imposition of GST on Solar panels along with import duty is going to hurt the current and future investment in renewable energy,when you have incompetent government,you need not any external enemy to bring you down or de-track from path of prosperity."
2022-01-03 06:40:00+00:00,"@SaketGokhale Why need so many Lakhs for your sustenance that  from crowd funding.Contribution from public , definitely accounts need to be maintained.Have u paid IncomeTax since most of donations were used for your personal expenditure ,as it is income from ""other sources"""
2022-01-03 07:04:00+00:00,"This is in parallel universe,  synonymous to Asking India for Charity  - GoI should subsidies people willing to settle in Baakistan by extending financial help..."
2022-01-03 07:18:00+00:00,Budget?  Amazfit Bip U Pro (Low Budget)  Amazfit GTS (But Higher Budget)
2022-01-03 07:32:00+00:00,"India's unemployment rate rose to a four-month high in December. The jobless rate increased to 7.91% last month, from 7% in November, rising in both urban and rural areas, according to the data from the Centre for Monitoring Indian Economy.  #ModiHaiToMumkinHai"
2022-01-03 07:47:00+00:00,"sorry Client pero kung wala po kayong budget, am afriad we have to pass the opportunity as we cannot compromise our quality."
2022-01-03 07:56:00+00:00,@NITIAayog @CropLifeIndia How could Zero Budget Natural Farming suggested by @PMOIndia double farmers income? Is there any scientific proof to validate ZBNF ?Has any comparative study been done? Would there be any cut in the fertilizer subsidy so that farmers switch over to ZBNF?
2022-01-03 08:10:00+00:00,"Am not a customer of Axis Bank, but someone who files income tax returns of customers of Axis Bank"
2022-01-03 08:50:00+00:00,"💰Webinar Fee:       (Inclusive of GST 18%) 👤 For FTCCI Members:  ₹.400/-  👥 For Non-Members:  ₹.500/-  🤵‍♂️SPEAKER: 💡CA Satish Saraf, Partner, Saraf Satish & Co, Hyderabad  🤵‍♂️CHAIR OF THE SESSION: 💡Sri S. Thirumalai, Advisor, GST and Customs Committee, FTCCI  2/3"
2022-01-03 08:57:00+00:00,How an #GST Amendment application can be rejected without giving any reasons of rejection. Already uploaded Rent agreement in Application and again issuing clarification for the same. What the hell with GST Department? @CgstJodhpur @Infosys_GSTN @GST_Council @askGST_GoI @GSTN_IT
2022-01-03 09:31:00+00:00,"Like Indo-China border State of Jammu & Kashmir UT State, Indo-china border States like Arunachal Pradesh, Himachal Pradesh & Uttarakhand should be converted into Union Territory UT States with Provincial government & Central bureaucracy, central budget & Central Mega-planning."
2022-01-03 09:56:00+00:00,India vs South India #ajinkyarahane career ends here. It's time for a change #BCCI
2022-01-03 10:28:00+00:00,Hello Flipkart losers team received call and again required 24 hours to generate GST invoice. All uneducated un-responsible froud team working in Flipkart nonsense fellow. They're not capable to do the work because of losers and uneducated un-responsible froud people never do wkd
2022-01-03 10:59:00+00:00,Nonsense fellow don't know how to generate GST invoice. You guys taking too much time to generate GST invoice.
2022-01-03 11:43:00+00:00,Subscribe to my channel on #GooglePodcast or #Spotify and for short & easy episodes on #incometax #gst #finance #audit and other issues impacting #Indian business & economy.
2022-01-03 12:03:00+00:00,The kits will include reusable handmade sanitary napkins. The women will also be taught how to make reusable sanitary napkins for themselves & to sell in their community.  We will need your donations to meet this project's estimated budget. Please dm us for details.
2022-01-03 12:46:00+00:00,"I wish the first line should read....  Income Tax Payers should hit the politicians on the  street for ridiculous free money announcements.  We must first ""Deleat this AAP"" from Indian politics.."
2022-01-03 12:58:00+00:00,"Industry of Karachi has fully recovered & now expanding. Commercial activities are picking up.  As far as just allocation of provincial budget is concerned, it depends upon politics"
2022-01-03 13:20:00+00:00,Sorry to say but what I believe   There are two people in world who can show in Income tax as company loss on paper but still they have enough spare fund to run their company  They are  Baniya and Marwari coz they both teach CA how to file Income tax🥳🥳😆😆😆😆
2022-01-03 13:33:00+00:00,High GST paying states!
2022-01-03 13:52:00+00:00,"Payment of Taxes/ IncomecTax.It is almost world wide. phenomna that no one mostly pays taxes.Even in America , in its earlier history, Income Tax Inspectors used to carry guns.In wmWestern countries, in some countries 80% people pay taxes.We have Ctd"
2022-01-03 13:58:00+00:00,Ye boiii! He did all of that himself with the help of us rakyats. The government didnt give him any budget because they are not happy that the youths are supporting him but he still managed to raise all those funds himself and is one of the only mps who always donates his salary
2022-01-03 13:58:00+00:00,"Ctd..in addition to many othet things we are alike India.Both are nuclear powers, in both countries, roughly only over one % oeople pay income tax..Even those who pay income tax, some only pay about Rs 3 thousands .Maj income tax paying are are some old multinationals Ctd"
2022-01-03 14:04:00+00:00,"Ctd..incl British  companies and some large income tax payers..GmThere is a great scope in collection of income tax.Ket us go to some extent category wise.Drs who charge large amounts as fees hardly pay thirr due raxes.Lawyers if superior courts charge heavy fees , some even Ctd."
2022-01-03 14:12:00+00:00,"Ctd..in crorees but pay only a fraction of income tax which cud be otherwise due.Anchorpersons and .other categories in media pay only small amounts..Plaza ownres too paybeven a fraction of income tsx due.Agriculture sector hss many loopholes Garden owners of Kinos, mangoes, Ctd"
2022-01-03 14:31:00+00:00,Thanks
2022-01-03 14:40:00+00:00,"Ctd...to prove thst they have psid income tax , have white monry to do so.Economic wheal  cud come to agrinding halt.I wikk qoute an exanple before my ' out of box' solution.Octry incone income of Ravi Brilidge.lahire was in some lacs only..Govt put put to auction the right Crd"
2022-01-03 14:46:00+00:00,If he has treated 76 lakhs as personal income he is liable for paying Income Tax and also action  for cheating donors.
2022-01-03 14:46:00+00:00,"Is it really Conte's spurs tho? Considering his track record, you really can't say it's his team until he gets enough budget to make a few solid signings.   One can defo see a major improvement despite the lack of transfers tho, especially when compared to the last two managers."
2022-01-03 14:57:00+00:00,What fucking luck that I got married 25 years ago when all this wasn't part of regular small budget weddings...  https://www.india.com/viral/viral-video-bangladeshi-bride-groom-dulha-dulhan-dance-kaahe-chhed-mohe-haldi-wedding-5167976/
2022-01-03 14:58:00+00:00,"Taking that example as a basis, we shud put to auction tbe right to collrct income tax by a bidder, from amongst the owners of shops in Liberty Marjet Lahore who may be given the list of income tax amounts paid as income tax by each shop keeper.Say govt cud fix govt bid ssy Ctd"
2022-01-03 15:00:00+00:00,Thumbs Up for #GOI #IncomeTaxDepartment have done a wonderful job in past few years to improve the system… #IncomeTaxReturn processings are too fast that income tax refund comes in 3 days… and ITR filing fee 😂😂😂😂
2022-01-03 15:05:00+00:00,"Ctd..twice the amount of tital income tacmx paid last year.The bidder shud have an Income tax lawyer, some rtd income tax inspector etcThe collection amount of income tax cmby the succesful bidder cud be startling.That bidder cud wind up his business from Libery Market Ctd"
2022-01-03 15:07:00+00:00,"Government give companies subsidies to take on interns to give them the training they require. Interns in turn, get an allowance. They never get a salary. It's called an allowance because, they are still in the learning process."
2022-01-03 15:10:00+00:00,The government gives out subsidies and tax cuts as incentives for companies to take on interns. For big companies it's a good way to headhunt new talent. I have hired interns who finished as I have spend time training them and they did well.
2022-01-03 15:12:00+00:00,"Employers see it the other way around. They would be asking ""why am I paying to teach these students? That's the job of the university."" Big companies who can afford it do give bigger allowances. But smaller companies will not give an allowance bigger than the subsidies they get"
2022-01-03 15:15:00+00:00,What's your budget?  I'd recommend the Jabra Elite Active 75t if you want to spend a bit. They'll be cheaper since they are one gen older.
2022-01-03 15:17:00+00:00,Ctd..Next year the bid amiunt cud be larger.Hence the collection of income tax of other markrts in Lahore ( abiut 30 markets in Lahore) and other big cities be likewuse auctiined.The rights of collection of income tax in other  sectors be extebded and new system be devused.
